=== CUT-OFF CSV FILES (data ends before expiry day) ===
Total: 4,740
These CSVs have data, but the last bar is days before the actual expiry date.
The vendor needs to provide additional rows from <last_data_date> to <expiry>.

Format: SYMBOL  STRIKE  OPT  EXPIRY  LAST_DATA  DAYS_MISSING  ROWS  FILEPATH
NIFTY   11150  PE   2018-03-28    2018-02-22     34d    5896  Backtesting Options Data/nifty 2014-2024 mid/2018/2018-03-28/NIFTY_11150_PE_28_MAR_18.csv
NIFTY   11250  CE   2018-03-28    2018-03-23      5d   13264  Backtesting Options Data/nifty 2014-2024 mid/2018/2018-03-28/NIFTY_11250_CE_28_MAR_18.csv
NIFTY   11250  PE   2018-03-28    2018-02-22     34d    3327  Backtesting Options Data/nifty 2014-2024 mid/2018/2018-03-28/NIFTY_11250_PE_28_MAR_18.csv
NIFTY   10150  CE   2019-01-31    2019-01-28      3d       3  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-01-31/NIFTY_10150_CE_31_JAN_19.csv
NIFTY   10350  CE   2019-01-31    2019-01-22      9d       9  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-01-31/NIFTY_10350_CE_31_JAN_19.csv
NIFTY   10350  PE   2019-02-14    2019-02-13      1d     732  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-02-14/NIFTY_10350_PE_14_FEB_19.csv
NIFTY   10250  CE   2019-02-28    2019-02-27      1d       2  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-02-28/NIFTY_10250_CE_28_FEB_19.csv
NIFTY   10550  PE   2019-03-14    2019-03-13      1d     164  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-03-14/NIFTY_10550_PE_14_MAR_19.csv
NIFTY   10500  CE   2019-03-20    2019-03-15      5d     216  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-03-20/NIFTY_10500_CE_20_MAR_19.csv
NIFTY   10750  PE   2019-03-20    2019-03-18      2d      30  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-03-20/NIFTY_10750_PE_20_MAR_19.csv
NIFTY   11950  CE   2019-05-16    2019-05-15      1d     291  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-05-16/NIFTY_11950_CE_16_MAY_19.csv
NIFTY   11050  PE   2019-05-30    2019-05-29      1d     873  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-05-30/NIFTY_11050_PE_30_MAY_19.csv
NIFTY   12050  CE   2019-07-18    2019-07-17      1d     349  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-07-18/NIFTY_12050_CE_18_JUL_19.csv
NIFTY   10500  PE   2019-08-09    2019-08-08      1d    2356  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-08-09/NIFTY_10500_PE_09_AUG_19.csv
NIFTY   10550  CE   2019-08-09    2019-08-08      1d       4  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-08-09/NIFTY_10550_CE_09_AUG_19.csv
NIFTY   10550  PE   2019-08-09    2019-08-08      1d    1406  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-08-09/NIFTY_10550_PE_09_AUG_19.csv
NIFTY   10600  CE   2019-08-09    2019-08-08      1d     619  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-08-09/NIFTY_10600_CE_09_AUG_19.csv
NIFTY   10600  PE   2019-08-09    2019-08-08      1d    2451  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-08-09/NIFTY_10600_PE_09_AUG_19.csv
NIFTY   10650  CE   2019-08-09    2019-08-08      1d      74  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-08-09/NIFTY_10650_CE_09_AUG_19.csv
NIFTY   10650  PE   2019-08-09    2019-08-08      1d    2047  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-08-09/NIFTY_10650_PE_09_AUG_19.csv
NIFTY   10700  PE   2019-08-09    2019-08-08      1d    2703  Backtesting Options Data/nifty 2014-2024 mid/2019/2019-08-09/NIFTY_10700_PE_09_AUG_19.csv
